abbr,muscle_name,type_i_ratio,optimal_force,optimal_fiber_length,tendon_slack_length,pennation_angle_at_optimal
addbrev,adductor_brevis,58.4,626,0.103,,
addlong,adductor_longus,58.4,917,0.108,,
addmagDist,adductor_magnus_distal,58.4,597,0.177,,
addmagIsch,adductor_magfnus_ischial,58.4,597,0.156,,
addmagMid,adductor_magnus_middle,58.4,597,0.138,,
addmagProx,adductor_magnus_proximal,58.4,597,0.106,,
bflh,biceps_femoris_long_head,66.9,1313,0.098,,
bfsh,biceps_femoris_short_head,66.9,557,0.11,,
edl,extensor_digitorum_longus,47.3,603,0.069,,
ehl,extensor_hallucis_longus,47.3,286,0.075,,
fdl,flexor_digitorum_longus,47.3,423,0.045,,
fhl,flexor_hallucis_longus,47.3,908,0.053,,
gaslat,gastrocnemius_lateral_head,46.9,1575,0.059,,
gasmed,gastrocnemius_medial_head,50.8,3116,0.051,,
glmax1,gluteus_maximus_superior,52.4,984,0.147,,
glmax2,gluteus_maximus_middle,52.4,1406,0.157,,
glmax3,gluteus_maximus_inferior,52.4,948,0.167,,
glmed1,gluteus_medius_anterior,57.6,1093,0.073,,
glmed2,gluteus_medius_middle,61.1,765,0.073,,
glmed3,gluteus_medius_posterior,58.3,871,0.073,,
glmin1,gluteus_minimus_anterior,50.3,374,0.068,,
glmin2,gluteus_minimus_middle,56.9,395,0.056,,
glmin3,gluteus_minimus_posterior,63.4,447,0.038,,
grac,gracilis,58.4,281,0.228,,
iliacus,iiliacus,49.2,1021,0.107,,
perbrev,peroneus_brevis,62.5,521,0.045,,
perlong,peroneus_longus,62.5,1115,0.051,,
piri,piriformis,50,1030,0.026,,
psoas,psoas,49.2,1427,0.117,,
rectfem,rectus_femoris,37.8,2192,0.076,,
sart,sartorius,49.6,249,0.403,,
semimem,semimembranosus,49.6,2201,0.069,,
semiten,semitendinosus,32.3,591,0.193,,
soleus,soleus,87.7,6195,0.044,,
tfl,tensor_fascia_latae,46.1,411,0.095,,
tibant,tibialis_anterior,73,1227,0.068,,
tibpost,tibialis_posterior,73,1730,0.038,,
vasint,vastus_intermedius,47.5,1697,0.099,,
vaslat,vastus_lateralis,42.3,5149,0.099,,
vasmed,vastus_medialis,52.6,2748,0.097,,
