abbr,muscle_name,type_i_ratio,mass,,,
glut_med1_r,gluteus_medius_anterior,57.6,0.0988,,,
glut_med2_r,gluteus_medius_middle,61.1,0.0988,,,
glut_med3_r,gluteus_medius_posterior,58.3,0.0988,,,
glut_min1_r,gluteus_minimus_anterior,50.3,0.0304,,,
glut_min2_r,gluteus_minimus_middle,56.9,0.0304,,,
glut_min3_r,gluteus_minimus_posterior,63.4,0.0304,,,
semimem_r,semimembranosus,49.6,0.2295,,,
semiten_r,semitendinosus,32.3,0.1618,,,
bifemlh_r,biceps_femoris_long_head,66.9,0.2041,,,
bifemsh_r,biceps_femoris_short_head,66.9,0.1305,,,
sar_r,sartorius,49.6,0.1442,,,
add_long_r,adductor_longus,58.4,0.124,,,
add_brev_r,adductor_brevis,58.4,0.1081,,,
add_mag1_r,adductor_magnus_distal,58.4,0.1938,,,
add_mag2_r,adductor_magfnus_ischial,58.4,0.1938,,,
add_mag3_r,adductor_magnus_middle,58.4,0.1938,,,
tfl_r,tensor_fasciae_latae,46.1,0.0525,,,
pect_r,pectineus,58.4,0.0528,,,
grac_r,gracilis,58.4,0.0903,,,
glut_max1_r,gluteus_maximus_superior,52.4,0.257,,,
glut_max2_r,gluteus_maximus_middle,52.4,0.257,,,
glut_max3_r,gluteus_maximus_inferior,52.4,0.257,,,
iliacus_r,iliacus,49.2,0.1368,,,
psoas_r,psoas,49.2,0.2052,,,
quad_fem_r,quadratus_femoris,55,0.0327,,,
gem_r,gemellus,55,0.0152,,,
peri_r,perineus,55,0.029,,,
rect_fem_r,rectus_femoris,37.8,0.2516,,,
vas_med_r,vastus_medialis,52.6,0.4765,,,
vas_int_r,vastus_intermedius,47.5,0.3715,,,
vas_lat_r,vastus_lateralis,42.3,0.61,,,
med_gas_r,gastrocnemius_medial_head,50.8,0.2913,,,
lat_gas_r,gastrocnemius_lateral_head,46.9,0.1249,,,
soleus_r,soleus,87.7,0.3659,,,
tib_post_r,tibialis_posterior,73,0.0842,,,
flex_dig_r,flexor_digitorum_longus,47.3,0.0418,,,
flex_hal_r,flexor_hallucis_longus,47.3,0.076,,,
tib_ant_r,tibialis_anterior,73,0.1241,,,
per_brev_r,peroneus_brevis,62.5,0.0391,,,
per_long_r,peroneus_longus,62.5,0.0686,,,
per_tert_r,peroneus_tertius,62.5,0.0231,,,
ext_dig_r,extensor_digitorum_longus,47.3,0.0432,,,
ext_hal_r,extensor_hallucis_longus,47.3,0.0293,,,
glut_med1_l,gluteus_medius_anterior,57.6,0.0988,,,
glut_med2_l,gluteus_medius_middle,61.1,0.0988,,,
glut_med3_l,gluteus_medius_posterior,58.3,0.0988,,,
glut_min1_l,gluteus_minimus_anterior,50.3,0.0304,,,
glut_min2_l,gluteus_minimus_middle,56.9,0.0304,,,
glut_min3_l,gluteus_minimus_posterior,63.4,0.0304,,,
semimem_l,semimembranosus,49.6,0.2295,,,
semiten_l,semitendinosus,32.3,0.1618,,,
bifemlh_l,biceps_femoris_long_head,66.9,0.2041,,,
bifemsh_l,biceps_femoris_short_head,66.9,0.1305,,,
sar_l,sartorius,49.6,0.1442,,,
add_long_l,adductor_longus,58.4,0.124,,,
add_brev_l,adductor_brevis,58.4,0.1081,,,
add_mag1_l,adductor_magnus_distal,58.4,0.1938,,,
add_mag2_l,adductor_magfnus_ischial,58.4,0.1938,,,
add_mag3_l,adductor_magnus_middle,58.4,0.1938,,,
tfl_l,tensor_fascia_latae,46.1,0.0525,,,
pect_l,pectineus,58.4,0.0528,,,
grac_l,gracilis,58.4,0.0903,,,
glut_max1_l,gluteus_maximus_superior,52.4,0.257,,,
glut_max2_l,gluteus_maximus_middle,52.4,0.257,,,
glut_max3_l,gluteus_maximus_inferior,52.4,0.257,,,
iliacus_l,iiliacus,49.2,0.1368,,,
psoas_l,psoas,49.2,0.2052,,,
quad_fem_l,quadratus_femoris,55,0.0327,,,
gem_l,gemellus,55,0.0152,,,
peri_l,perineus,55,0.029,,,
rect_fem_l,rectus_femoris,37.8,0.2516,,,
vas_med_l,vastus_medialis,52.6,0.4765,,,
vas_int_l,vastus_intermedius,47.5,0.3715,,,
vas_lat_l,vastus_lateralis,42.3,0.61,,,
med_gas_l,gastrocnemius_medial_head,50.8,0.2913,,,
lat_gas_l,gastrocnemius_lateral_head,46.9,0.1249,,,
soleus_l,soleus,87.7,0.3659,,,
tib_post_l,tibialis_posterior,73,0.0842,,,
flex_dig_l,flexor_digitorum_longus,47.3,0.0418,,,
flex_hal_l,flexor_hallucis_longus,47.3,0.076,,,
tib_ant_l,tibialis_anterior,73,0.1241,,,
per_brev_l,peroneus_brevis,62.5,0.0391,,,
per_long_l,peroneus_longus,62.5,0.0686,,,
per_tert_l,peroneus_tertius,62.5,0.0231,,,
ext_dig_l,extensor_digitorum_longus,47.3,0.0432,,,
ext_hal_l,extensor_hallucis_longus,47.3,0.0293,,,
ercspn_r,erector_spinae,65,0.6857,,,
ercspn_l,erector_spinae,65,0.6857,,,
intobl_r,internal_oblique,60,0.0935,,,
intobl_l,internal_oblique,60,0.0935,,,
extobl_r,external_oblique,55,0.1703,,,
extobl_l,external_oblique,55,0.1703,,,
