abbr,muscle_name,type_i_ratio,note
glut_med1,gluteus_medius_anterior,57.6,
glut_med2,gluteus_medius_middle,61.1,
glut_med3,gluteus_medius_posterior,58.3,
glut_med,gluteus_medius,59,glut_med1+glut_med2+glut_med3
glut_min1,gluteus_minimus_anterior,50.3,
glut_min2,gluteus_minimus_middle,56.9,
glut_min3,gluteus_minimus_posterior,63.4,
glut_min,gluteus_minimus,56.9,glut_min1+glut_min2+glut_min3
semimem,semimembranosus,49.6,
semiten,semitendinosus,32.3,
bifemlh,biceps_femoris_long_head,66.9,
hamstrings,hamstrings,49.6,semimem+semiten+bifemlh
bifemsh,biceps_femoris_short_head,66.9,
sar,sartorius,49.6,
add_long,adductor_longus,58.4,
add_brev,adductor_brevis,58.4,
add_mag1,adductor_magnus_distal,58.4,
add_mag2,adductor_magfnus_ischial,58.4,
add_mag3,adductor_magnus_middle,58.4,
add_mag,adductor_magnus,58.4,add_mag1+add_mag2+add_mag3
tfl,tensor_fasciae_latae,46.1,
pect,pectineus,58.4,
grac,gracilis,58.4,
glut_max1,gluteus_maximus_superior,52.4,
glut_max2,gluteus_maximus_middle,52.4,
glut_max3,gluteus_maximus_inferior,52.4,
glut_max,gluteus_maximus,52.4,glut_max1+glut_max2+glut_max3
iliacus,iliacus,49.2,
psoas,psoas,49.2,
iliopsoas,ilipsoas,49.2,iliacus+psoas
quad_fem,quadratus_femoris,55,
gem,gemellus,55,
peri,perineus,55,
rect_fem,rectus_femoris,37.8,
vas_med,vastus_medialis,52.6,
vas_int,vastus_intermedius,47.5,
vas_lat,vastus_lateralis,42.3,
vasti,vastus,47.4,vas_med+vas_int+vas_lat
med_gas,gastrocnemius_medial_head,50.8,
lat_gas,gastrocnemius_lateral_head,46.9,
gastroc,gastrocnemius,48.9,med_gas+lat_gas
soleus,soleus,87.7,
tib_post,tibialis_posterior,73,
flex_dig,flexor_digitorum_longus,47.3,
flex_hal,flexor_hallucis_longus,47.3,
tib_ant,tibialis_anterior,73,
per_brev,peroneus_brevis,62.5,
per_long,peroneus_longus,62.5,
per_tert,peroneus_tertius,62.5,
ext_dig,extensor_digitorum_longus,47.3,
ext_hal,extensor_hallucis_longus,47.3,
ercspn,erector_spinae,65,
intobl,internal_oblique,60,
extobl,external_oblique,55,
,,,
END OF TABLE,,,
"References: Johnson M A, Polgar J, Weightman D, et al. Data on the distribution of fibre types in thirty-six human muscles: an autopsy study[J]. Journal of the neurological sciences, 1973, 18(1): 111-129.",,,
