muscle,peak_activation,mean_activation
gastroc_r,1.000000,0.514188
glut_max_l,1.000000,0.561333
gastroc_l,1.000000,0.503872
soleus_r,1.000000,0.314378
glut_max_r,1.000000,0.545444
rect_fem_l,1.000000,0.720923
soleus_l,1.000000,0.255802
bifemsh_l,1.000000,0.466714
bifemsh_r,1.000000,0.418309
iliopsoas_l,1.000000,0.369266
iliopsoas_r,1.000000,0.361122
rect_fem_r,0.999999,0.579705
tib_ant_r,0.910503,0.154493
hamstrings_l,0.810890,0.119783
tib_ant_l,0.770681,0.151591
hamstrings_r,0.768620,0.090279
vasti_l,0.566449,0.030807
vasti_r,0.216664,0.022909
