actuator,peak_control,optimal_force,peak_force
residual_jointset_ground_pelvis_pelvis_tilt,0.159282,400.000000,63.712815
residual_jointset_ground_pelvis_pelvis_list,0.124961,400.000000,49.984309
residual_jointset_ground_pelvis_pelvis_rotation,0.074732,400.000000,29.892777
residual_jointset_ground_pelvis_pelvis_tx,0.242924,500.000000,121.462211
residual_jointset_ground_pelvis_pelvis_ty,0.251586,500.000000,125.792950
residual_jointset_ground_pelvis_pelvis_tz,0.113413,500.000000,56.706747
reserve_jointset_hip_r_hip_flexion_r,8.775246,1.000000,8.775246
reserve_jointset_hip_r_hip_adduction_r,33.936077,1.000000,33.936077
reserve_jointset_hip_r_hip_rotation_r,19.665437,1.000000,19.665437
reserve_jointset_knee_r_knee_extension_r,15.669498,1.000000,15.669498
reserve_jointset_ankle_r_ankle_dorsiflexion_r,112.289359,1.000000,112.289359
reserve_jointset_hip_l_hip_flexion_l,15.902497,1.000000,15.902497
reserve_jointset_hip_l_hip_adduction_l,66.884071,1.000000,66.884071
reserve_jointset_hip_l_hip_rotation_l,24.820878,1.000000,24.820878
reserve_jointset_knee_l_knee_extension_l,64.309607,1.000000,64.309607
reserve_jointset_ankle_l_ankle_dorsiflexion_l,30.889154,1.000000,30.889154
reserve_jointset_back_lumbar_extension,19.564311,1.000000,19.564311
reserve_jointset_back_lumbar_bending,27.948159,1.000000,27.948159
reserve_jointset_back_lumbar_rotation,10.578319,1.000000,10.578319
