sIdx,eIdx,EMG,Muscle,t_start_s,t_end_s,SamplesFlagged,Interval_ms,PeakRemoved_V,PeakOverP999,PeakOverSigma,SupportPoints
301345,301437,14,BF_L,150.672,150.718,70,46.5,0.00226446,29.5145170456027,672.04529643348,100
104856,104996,12,RF_L,52.4275,52.4975,115,70.5,0.00113275,16.5528800769229,261.479288761653,64
369552,369741,9,BF_R,184.7755,184.87,147,95,0.00118657,20.2171016537346,251.071948358305,100
307349,307467,14,BF_L,153.674,153.733,87,59.5,0.000573281,7.47202946681334,170.138045973292,100
118943,118971,10,TA_R,59.471,59.485,4,14.5,0.00190317,15.486524753442,167.11240265067,100
391316,391338,11,GAS_R,195.6575,195.6685,3,11.5,0.00124699,6.94446610160052,138.651531202643,100
267979,268045,15,TA_L,133.989,134.022,41,33.5,0.00113982,11.0960544376625,99.4660617093007,100
99689,99763,15,TA_L,49.844,49.881,46,37.5,0.00111366,10.8413889781256,97.1832168966853,100
11244,11284,16,GAS_L,5.6215,5.6415,15,20.5,0.000785982,4.33477829252151,74.4847270232014,74
85227,85261,11,GAS_R,42.613,42.63,15,17.5,0.000619961,3.45255226490538,68.93282378842,100
11290,11315,16,GAS_L,5.6445,5.657,6,13,0.000671651,3.70423009044783,63.6499835745096,59
105011,105111,12,RF_L,52.505,52.555,61,50.5,0.000261417,3.8200876195709,60.344410708634,64
104598,104619,8,VL_R,52.2985,52.309,2,11,0.000216683,2.51696792501705,51.2935391975808,100
23668,23688,16,GAS_L,11.8335,11.8435,1,10.5,0.000510521,2.81558018971983,48.3802648465382,100
285823,285847,10,TA_R,142.911,142.923,5,12.5,0.000428446,3.4863620089184,37.6207277679183,100
235902,235924,10,TA_R,117.9505,117.9615,3,11.5,0.000393989,3.20597760635355,34.5951483093654,100
219589,219609,10,TA_R,109.794,109.804,1,10.5,0.000332027,2.70177879764346,29.1544264121934,100
218564,218584,15,TA_L,109.2815,109.2915,1,10.5,0.000259103,2.52234650467763,22.6105481453782,100
