abbr,muscle_name,type_i_ratio,mass,note
glut_med1,gluteus_medius_anterior,57.6,0.0988,
glut_med2,gluteus_medius_middle,61.1,0.0988,
glut_med3,gluteus_medius_posterior,58.3,0.0988,
glut_med,gluteus_medius,59,0.2964,glut_med1+glut_med2+glut_med3
glut_min1,gluteus_minimus_anterior,50.3,0.0304,
glut_min2,gluteus_minimus_middle,56.9,0.0304,
glut_min3,gluteus_minimus_posterior,63.4,0.0304,
glut_min,gluteus_minimus,56.9,0.0912,glut_min1+glut_min2+glut_min3
semimem,semimembranosus,49.6,0.2295,
semiten,semitendinosus,32.3,0.1618,
bifemlh,biceps_femoris_long_head,66.9,0.2041,
hamstrings,hamstrings,49.6,0.5954,semimem+semiten+bifemlh
bifemsh,biceps_femoris_short_head,66.9,0.1305,
sar,sartorius,49.6,0.1442,
add_long,adductor_longus,58.4,0.124,
add_brev,adductor_brevis,58.4,0.1081,
add_mag1,adductor_magnus_distal,58.4,0.1938,
add_mag2,adductor_magfnus_ischial,58.4,0.1938,
add_mag3,adductor_magnus_middle,58.4,0.1938,
add_mag,adductor_magnus,58.4,0.5814,add_mag1+add_mag2+add_mag3
tfl,tensor_fasciae_latae,46.1,0.0525,
pect,pectineus,58.4,0.0528,
grac,gracilis,58.4,0.0903,
glut_max1,gluteus_maximus_superior,52.4,0.257,
glut_max2,gluteus_maximus_middle,52.4,0.257,
glut_max3,gluteus_maximus_inferior,52.4,0.257,
glut_max,gluteus_maximus,52.4,0.771,glut_max1+glut_max2+glut_max3
iliacus,iliacus,49.2,0.1368,
psoas,psoas,49.2,0.2052,
iliopsoas,ilipsoas,49.2,0.342,iliacus+psoas
quad_fem,quadratus_femoris,55,0.0327,
gem,gemellus,55,0.0152,
peri,perineus,55,0.029,
rect_fem,rectus_femoris,37.8,0.2516,
vas_med,vastus_medialis,52.6,0.4765,
vas_int,vastus_intermedius,47.5,0.3715,
vas_lat,vastus_lateralis,42.3,0.61,
vasti,vastus,47.4,1.458,vas_med+vas_int+vas_lat
med_gas,gastrocnemius_medial_head,50.8,0.2913,
lat_gas,gastrocnemius_lateral_head,46.9,0.1249,
gastroc,gastrocnemius,48.9,0.4162,med_gas+lat_gas
soleus,soleus,87.7,0.3659,
tib_post,tibialis_posterior,73,0.0842,
flex_dig,flexor_digitorum_longus,47.3,0.0418,
flex_hal,flexor_hallucis_longus,47.3,0.076,
tib_ant,tibialis_anterior,73,0.1241,
per_brev,peroneus_brevis,62.5,0.0391,
per_long,peroneus_longus,62.5,0.0686,
per_tert,peroneus_tertius,62.5,0.0231,
ext_dig,extensor_digitorum_longus,47.3,0.0432,
ext_hal,extensor_hallucis_longus,47.3,0.0293,
ercspn,erector_spinae,65,0.6857,
intobl,internal_oblique,60,0.0935,
extobl,external_oblique,55,0.1703,
